zona,tipo,fuente,id,lat,lon,area_terreno_m2,area_const_m2,precio_usd,moneda,unico,url
zona-norte,terreno,c21,111378,-17.758969597550408,-63.188083795076004,3708.55,3708.55,4295977,BOB,true,https://c21.com.bo/propiedad/111378_terreno-premiun-en-venta
zona-norte,terreno,c21,110302,-17.765317166348183,-63.18612922195129,240.04,240.04,193966,BOB,true,https://c21.com.bo/propiedad/110302_terreno-en-venta-entre-3er-y-2do-anillo-zona-norte
zona-norte,terreno,c21,106547,-17.76646274399038,-63.18457703334351,454.65,,265000,BOB,true,https://c21.com.bo/propiedad/106547_terreno-venta-av-banzer-2do-3er-anillo-a-2-cuadras-de-la-avenida-principal
zona-norte,terreno,c21,106017,-17.7697012,-63.1851878,550.2,550.2,39727,BOB,true,https://c21.com.bo/propiedad/106017_terreno-en-venta
zona-norte,terreno,c21,105967,-17.764821063530732,-63.18151617231369,4599.82,2216.55,11494253,BOB,true,https://c21.com.bo/propiedad/105967_oportunidad-unica-para-empresas-e-inversionistas
zona-norte,terreno,c21,105611,-17.7610109,-63.18086579999999,1215,335,1000000,BOB,true,https://c21.com.bo/propiedad/105611_casa-como-terreno-en-venta
zona-norte,terreno,c21,106578,-17.76927932101476,-63.18135898344611,572.5,230,370000,BOB,true,https://c21.com.bo/propiedad/106578_terreno-en-venta-zona-norte
zona-norte,terreno,c21,103896,-17.757295658879237,-63.17795458965396,1070,,2729885,BOB,true,https://c21.com.bo/propiedad/103896_terreno-en-venta-av-banzer-zona-norte
zona-norte,terreno,c21,104118,-17.76373162688711,-63.17643380740966,870.7,200,1131780,BOB,true,https://c21.com.bo/propiedad/104118_terreno-en-venta-zona-norte-av-beni-esq-av-los-cusis
zona-norte,terreno,c21,103961,-17.7646523,-63.1890522,1200,,1106322,BOB,true,https://c21.com.bo/propiedad/103961_terreno-en-venta-frente-a-anapo-con-salida-a-2-calles
zona-norte,terreno,c21,105977,-17.754295692236063,-63.177745542855824,7775.68,5580.7,2,BOB,true,https://c21.com.bo/propiedad/105977_edificio-corporativo-en-venta-sobre-avenida
zona-norte,terreno,c21,100275,-17.7587909,-63.1839029,300,,50230,BOB,true,https://c21.com.bo/propiedad/100275_terreno-en-venta
zona-norte,terreno,c21,102553,-17.761208658379775,-63.18600584760743,573,,473563,BOB,true,https://c21.com.bo/propiedad/102553_terreno-en-venta
zona-norte,terreno,c21,88754,-17.76606568072365,-63.18059841849365,582,150,502874,BOB,true,https://c21.com.bo/propiedad/88754_casa-de-ocasion-en-venta-a-precio-de-terreno-a-media-cuadra-de-avenida-banzer
zona-norte,terreno,c21,112726,-17.768864475566154,-63.17185003267974,558,298,364784,BOB,true,https://c21.com.bo/propiedad/112726_terreno-en-venta-entre-beni-y-alemana-zona-norte
zona-norte,terreno,c21,112331,-17.7673660289636,-63.17141082963868,859.86,859.86,832759,BOB,true,https://c21.com.bo/propiedad/112331_inmueble-en-venta-a-media-cuadra-de-la-av-alemana
zona-norte,terreno,c21,112421,-17.756863526283396,-63.17330475888709,606.45,406.55,1403822,BOB,true,https://c21.com.bo/propiedad/112421_terreno-comercial-premium-en-venta-alta-plusvalia-y-potencial-de-desarrollo
zona-norte,terreno,c21,111205,-17.754836336810857,-63.16117089861145,640,,553161,BOB,true,https://c21.com.bo/propiedad/111205_terreno-en-zona-norte-alemana-3-y-4-anillo-640m2
zona-norte,terreno,c21,109675,-17.75299511323622,-63.16325715344238,250,,201149,BOB,true,https://c21.com.bo/propiedad/109675_terreno-venta-zona-norte-av-alemana
zona-norte,terreno,c21,109001,-17.767842550007295,-63.17251976363753,480,,603448,BOB,true,https://c21.com.bo/propiedad/109001_terreno-en-venta-av-alemana-2do-anillo
zona-norte,terreno,c21,106893,-17.7612907278662,-63.16920723550414,624,168,528736,BOB,true,https://c21.com.bo/propiedad/106893_terreno-para-inversion-en-esquina-zona-norte
zona-norte,terreno,c21,106258,-17.766198073385326,-63.162919758349595,435,325,420603,BOB,true,https://c21.com.bo/propiedad/106258_casa-comercial-en-venta-en-esquina
zona-norte,terreno,c21,105718,-17.758182056764582,-63.16831889286803,347.5,170,209698,BOB,true,https://c21.com.bo/propiedad/105718_terreno-en-avenida-alemana-3er-anillo-en-venta
zona-norte,terreno,c21,98285,-17.75767910647745,-63.15770833846321,305.64,40,165000,BOB,true,https://c21.com.bo/propiedad/98285_terreno-en-venta
zona-norte,terreno,c21,99507,-17.75448577431269,-63.16684689157103,307,307,225323,BOB,true,https://c21.com.bo/propiedad/99507_terreno-en-venta-zona-norte
zona-norte,terreno,c21,112721,-17.7341979,-63.1920481,100050,,265805,BOB,true,https://c21.com.bo/propiedad/112721_terreno-en-venta
zona-norte,terreno,c21,113085,-17.749339082408476,-63.17901642065431,486.4,547,780000,BOB,true,https://c21.com.bo/propiedad/113085_terreno-exclusivo-sobre-av-4to-anillo
zona-norte,terreno,c21,108236,-17.7438726,-63.1820963,300,,35201,BOB,true,https://c21.com.bo/propiedad/108236_terreno-en-venta-urubo-3
zona-norte,terreno,c21,102122,-17.748464352725637,-63.181958765112306,395,,290000,BOB,true,https://c21.com.bo/propiedad/102122_terreno-con-construccion-antigua
zona-norte,terreno,c21,101095,-17.748000805453675,-63.19231015192871,299,210,148000,BOB,true,https://c21.com.bo/propiedad/101095_terreno-en-venta-ubicacion-estrategica-zona-norte
zona-norte,terreno,c21,100042,-17.749241593754526,-63.17828176438752,736,,9593563,BOB,true,https://c21.com.bo/propiedad/100042_terreno-en-venta-sobre-avenida-zona-norte
zona-norte,terreno,c21,94149,-17.74922467807464,-63.17992932225951,736000,,1216092,BOB,true,https://c21.com.bo/propiedad/94149_terreno-en-venta-sobre-avenida-4to-anillo-entre-av-beni-y-av-radial-27
zona-norte,terreno,c21,111892,-17.7338752,-63.16197599999999,306.63,,12572,BOB,true,https://c21.com.bo/propiedad/111892_terreno-en-venta
zona-norte,terreno,c21,112129,-17.749525981715728,-63.15773178561401,359.12,359.12,213362,BOB,true,https://c21.com.bo/propiedad/112129_terreno-en-venta-zona-norte-entre-4to-y-5to-anillo-av-cordecruz
zona-norte,terreno,c21,111977,-17.7423491,-63.158506,280,,46466,BOB,true,https://c21.com.bo/propiedad/111977_oportunidad-terreno-en-venta-dentro-de-condominio
zona-norte,terreno,c21,111367,-17.749727593219532,-63.16734891376952,523,160,452586,BOB,true,https://c21.com.bo/propiedad/111367_casa-terreno-comercial-en-venta-zona-norte-entre-4to-anillo-y-beni
zona-norte,terreno,c21,111019,-17.7423616,-63.1584857,300,,18103,BOB,true,https://c21.com.bo/propiedad/111019_lote-de-terreno-en-venta-zona-pentaguazu
zona-norte,terreno,c21,109452,-17.7338752,-63.16197599999999,10853,,1953540,BOB,false,https://c21.com.bo/propiedad/109452_terreno-en-venta-zona-norte-av-prolongacion-beni-9no-anillo
zona-norte,terreno,c21,109052,-17.751598532046543,-63.16604960494136,302.5,120,362069,BOB,true,https://c21.com.bo/propiedad/109052_terreno-en-venta-sobre-avenida-4to-anillo-av-beni-y-av-alemana
zona-norte,terreno,c21,107647,-17.7338752,-63.16197599999999,225.26,,30072,BOB,false,https://c21.com.bo/propiedad/107647_terrenos-a-5-cuadras-de-la-plaza-de-valle-sanchez-en-venta
zona-norte,terreno,c21,107003,-17.7338752,-63.16197599999999,400,,15000,BOB,false,https://c21.com.bo/propiedad/107003_venta-de-terreno-lote-23
zona-norte,terreno,c21,106984,-17.7338752,-63.16197599999999,400,,15000,BOB,false,https://c21.com.bo/propiedad/106984_venta-de-terreno-lote-24
zona-norte,terreno,c21,106522,-17.7505448,-63.1699149,761.43,,609144,BOB,true,https://c21.com.bo/propiedad/106522_terreno-en-venta-a-media-cuadra-del-4to-anillo-y-mall-ventura
zona-norte,terreno,c21,104179,-17.7338752,-63.16197599999999,14057,378,109626,BOB,false,https://c21.com.bo/propiedad/104179_granja-productiva-en-venta-colpa-belgica
zona-norte,terreno,c21,104228,-17.73679610303148,-63.16264968357543,996,,574713,BOB,true,https://c21.com.bo/propiedad/104228_oportunidad-de-inversion-en-la-zona-norte
zona-norte,terreno,c21,104350,-17.7338752,-63.16197599999999,360,,21235,BOB,false,https://c21.com.bo/propiedad/104350_terreno-en-urbanizacion-pentaguazu
zona-norte,terreno,c21,103342,-17.7338752,-63.16197599999999,310.59,,84788,BOB,false,https://c21.com.bo/propiedad/103342_terreno-en-venta-en-condominio-fontana-riviera-2
zona-norte,terreno,c21,103167,-17.745047568383644,-63.1600123293747,411,40,420744,BOB,true,https://c21.com.bo/propiedad/103167_terreno-en-venta-sobre-el-5to-anillo-entre-av-alemana-y-av-2-de-agosto
zona-norte,terreno,c21,103691,-17.7338752,-63.16197599999999,2920.24,,65374,BOB,false,https://c21.com.bo/propiedad/103691_hermoso-terreno-en-venta-en-lomas-del-mirador-buena-vista
zona-norte,terreno,c21,102582,-17.7338752,-63.16197599999999,506,20,16695,BOB,false,https://c21.com.bo/propiedad/102582_terreno-en-venta
zona-norte,terreno,c21,104749,-17.7338752,-63.16197599999999,457.5,,14368,BOB,false,https://c21.com.bo/propiedad/104749_en-venta
zona-norte,terreno,c21,101691,-17.73257062715686,-63.164526622076416,289.78,289.78,75300,BOB,true,https://c21.com.bo/propiedad/101691_terreno-en-venta-zona-norte-santa-cruz
zona-norte,terreno,c21,101694,-17.73257062715686,-63.164526622076416,277.34,277.34,74900,BOB,false,https://c21.com.bo/propiedad/101694_terreno-en-venta-zona-norte-santa-cruz
zona-norte,terreno,c21,101702,-17.73257062715686,-63.164526622076416,264.89,264.89,66900,BOB,false,https://c21.com.bo/propiedad/101702_excelente-oportunidad-de-inversion-terrenos-zona-norte-en-venta
zona-norte,terreno,c21,101689,-17.73257062715686,-63.164526622076416,302.23,302.23,78600,BOB,false,https://c21.com.bo/propiedad/101689_terreno-en-venta-zona-norte-santa-cruz
zona-norte,terreno,c21,101686,-17.73257062715686,-63.164526622076416,314.67,314.67,81800,BOB,false,https://c21.com.bo/propiedad/101686_terreno-en-venta-zona-norte-santa-cruz
zona-norte,terreno,c21,99623,-17.7338752,-63.16197599999999,360,,17098,BOB,false,https://c21.com.bo/propiedad/99623_alerta-de-inversion-inteligente-listo-para-ganarle-13-000-al-mercado
zona-norte,terreno,c21,99797,-17.743647781390006,-63.16362137653389,1972,,1932560,BOB,true,https://c21.com.bo/propiedad/99797_terreno-en-venta-sobre-5to-anillo-y-avenida-banzer
zona-norte,terreno,c21,96624,-17.7338752,-63.16197599999999,10000,10000,412356,BOB,false,https://c21.com.bo/propiedad/96624_terreno-en-venta-zona-norte-warnes
zona-norte,terreno,c21,97644,-17.7338752,-63.16197599999999,283.42,,15021,BOB,false,https://c21.com.bo/propiedad/97644_terreno-en-norbelgica-de-283-42-m2
zona-norte,terreno,c21,97647,-17.7338752,-63.16197599999999,390.93,,21892,BOB,false,https://c21.com.bo/propiedad/97647_terreno-en-norbelgica-de-390-93-m2
zona-norte,terreno,c21,97928,-17.74451288239577,-63.17338611714934,3250,,3900000,BOB,true,https://c21.com.bo/propiedad/97928_terrenos-en-venta-en-avenida-banzer-entre-4to-y-5to-anillo
zona-norte,terreno,c21,90773,-17.7338752,-63.16197599999999,300,,13879,BOB,false,https://c21.com.bo/propiedad/90773_en-venta-4-terrenos-urbanizacion-gran-paititi
zona-norte,terreno,c21,60013,-17.7338752,-63.16197599999999,1154.25,,70402,BOB,false,https://c21.com.bo/propiedad/60013_terreno-en-venta
